age,capital_gain,capital_loss,education,education_num,hours_per_week,martial_status,occupation,race,relationship,sex,workclass,role,prob0,prob1,idx
53,0,0,11th,7,40,Married-civ-spouse,Handlers-cleaners,Black,Husband,Male,Private,x_interest,0.93,0.07,4
61,0,0,5th-6th,6,54,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Self-emp-inc,gen_cf,0.666,0.334,4
53,0,0,Bachelors,7,50,Married-AF-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.55,0.45,4
53,0,0,Some-college,10,59,Divorced,Protective-serv,White,Own-child,Male,Private,gen_cf,0.698,0.302,4
53,0,538,Masters,7,47,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,Private,gen_cf,0.404,0.596,4
53,3899,199,11th,9,50,Married-civ-spouse,Craft-repair,White,Husband,Male,Private,gen_cf,0.424,0.576,4
32,0,0,11th,7,58,Married-civ-spouse,Adm-clerical,White,Husband,Male,Private,gen_cf,0.784,0.216,4
53,0,0,11th,9,49,Married-civ-spouse,Exec-managerial,White,Husband,Male,Self-emp-not-inc,gen_cf,0.52,0.48,4
53,0,0,Some-college,5,43,Married-civ-spouse,Other-service,White,Husband,Male,Private,gen_cf,0.812,0.188,4
53,1811,0,HS-grad,7,39,Married-civ-spouse,Tech-support,White,Husband,Male,Private,gen_cf,0.668,0.332,4
53,1649,0,Bachelors,7,40,Married-civ-spouse,Sales,White,Husband,Male,Private,gen_cf,0.494,0.506,4
49,0,231,Masters,6,46,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.534,0.466,4
53,0,126,11th,6,50,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.81,0.19,4
53,0,0,11th,7,54,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.78,0.22,4
50,1414,0,11th,7,42,Married-civ-spouse,Machine-op-inspct,White,Husband,Male,Private,gen_cf,0.776,0.224,4
53,0,246,Some-college,7,40,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.874,0.126,4
53,0,0,11th,6,40,Married-civ-spouse,Transport-moving,White,Husband,Male,Private,gen_cf,0.894,0.106,4
53,0,0,11th,7,40,Married-civ-spouse,Transport-moving,White,Husband,Male,Private,gen_cf,0.884,0.116,4
53,0,0,HS-grad,7,40,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.914,0.086,4
53,0,0,11th,5,40,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.916,0.084,4
53,2743,0,11th,7,40,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.782,0.218,4
53,0,0,11th,7,38,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.906,0.094,4
53,0,0,11th,7,40,Married-civ-spouse,Handlers-cleaners,White,Husband,Male,Private,gen_cf,0.908,0.092,4
28,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,Black,Wife,Female,Private,x_interest,0.802,0.198,5
28,0,428,Bachelors,12,60,Married-civ-spouse,Adm-clerical,White,Husband,Male,Without-pay,gen_cf,0.576,0.424,5
28,0,0,Assoc-voc,10,53,Married-civ-spouse,Prof-specialty,White,Other-relative,Male,Private,gen_cf,0.842,0.158,5
28,2526,0,Bachelors,13,41,Married-civ-spouse,Prof-specialty,White,Husband,Male,Private,gen_cf,0.668,0.332,5
28,2951,0,Bachelors,13,56,Married-civ-spouse,Prof-specialty,White,Husband,Female,Private,gen_cf,0.614,0.386,5
28,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Own-child,Male,Private,gen_cf,0.778,0.222,5
24,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Husband,Male,Private,gen_cf,0.722,0.278,5
39,0,0,Bachelors,13,27,Married-civ-spouse,Prof-specialty,White,Wife,Male,Private,gen_cf,0.506,0.494,5
28,975,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Not-in-family,Female,Private,gen_cf,0.762,0.238,5
56,1324,590,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.442,0.558,5
44,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.464,0.536,5
28,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Wife,Male,Private,gen_cf,0.684,0.316,5
25,0,0,Bachelors,13,54,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.724,0.276,5
28,0,159,Bachelors,13,14,Married-civ-spouse,Tech-support,White,Wife,Female,Private,gen_cf,0.486,0.514,5
28,0,0,Bachelors,13,19,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.634,0.366,5
28,0,0,Bachelors,13,20,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.634,0.366,5
28,0,0,Bachelors,13,22,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.648,0.352,5
28,0,0,Bachelors,13,51,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.746,0.254,5
28,2863,0,Bachelors,14,40,Married-civ-spouse,Prof-specialty,White,Wife,Female,Local-gov,gen_cf,0.514,0.486,5
30,1663,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.474,0.526,5
28,2451,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Wife,Female,Local-gov,gen_cf,0.526,0.474,5
28,529,0,Bachelors,13,46,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.734,0.266,5
28,0,0,Bachelors,13,43,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.71,0.29,5
28,0,0,Bachelors,13,40,Married-civ-spouse,Tech-support,White,Wife,Female,Private,gen_cf,0.5,0.5,5
28,529,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.702,0.298,5
28,0,0,Bachelors,13,40,Married-civ-spouse,Prof-specialty,White,Wife,Female,Private,gen_cf,0.702,0.298,5
49,0,0,9th,5,16,Married-spouse-absent,Other-service,Black,Not-in-family,Female,Private,x_interest,0.992,0.008,7
49,0,0,9th,4,44,Divorced,Other-service,White,Not-in-family,Female,Private,gen_cf,0.968,0.032,7
49,0,0,9th,5,42,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.972,0.028,7
59,2073,124,Assoc-voc,5,16,Divorced,Other-service,White,Not-in-family,Female,Private,gen_cf,0.984,0.016,7
49,0,0,Assoc-acdm,5,21,Married-spouse-absent,Other-service,White,Not-in-family,Male,Private,gen_cf,0.986,0.014,7
49,0,0,7th-8th,5,39,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.976,0.024,7
49,0,0,9th,5,39,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.994,0.006,7
49,0,0,9th,5,11,Never-married,Other-service,White,Not-in-family,Male,Private,gen_cf,0.986,0.014,7
49,0,0,9th,5,26,Married-spouse-absent,Other-service,White,Not-in-family,Female,Private,gen_cf,0.996,0.004,7
