race,sex,gpa,lsat,role,prob0,prob1,idx
Black,1,1.91508774883288,6,x_interest,0.852,0.148,11
White,2,3.73971666035756,6,gen_cf,0.552,0.448,11
White,2,3.62409323154336,6,gen_cf,0.218,0.782,11
White,2,3.56479694569998,6,gen_cf,0.474,0.526,11
White,2,3.59633697217377,6,gen_cf,0.21,0.79,11
White,2,3.17810529423441,8,gen_cf,0.29,0.71,11
White,1,3.5125613169517,6,gen_cf,0.46,0.54,11
White,1,3.13622042696995,6,gen_cf,0.478,0.522,11
White,1,2.87196957857397,6,gen_cf,0.72,0.28,11
White,1,2.71562242764242,6,gen_cf,0.602,0.398,11
White,1,2.685717025019,6,gen_cf,0.628,0.372,11
White,1,2.66397453792398,6,gen_cf,0.46,0.54,11
White,1,2.66397453792398,5,gen_cf,0.104,0.896,11
White,1,2.53561670758941,6,gen_cf,0.258,0.742,11
White,1,2.12895606811687,6,gen_cf,0.134,0.866,11
White,1,2.0878147062118,6,gen_cf,0.134,0.866,11
White,1,1.99552541955259,6,gen_cf,0.138,0.862,11
White,1,1.98683508910344,6,gen_cf,0.146,0.854,11
White,1,1.98715346815032,6,gen_cf,0.146,0.854,11
White,1,1.97994201972635,6,gen_cf,0.158,0.842,11
White,1,1.94102022405193,6,gen_cf,0.256,0.744,11
White,1,1.93766320725738,6,gen_cf,0.256,0.744,11
White,1,1.91508774883288,6,gen_cf,0.258,0.742,11
White,1,1.91522210080292,6,gen_cf,0.258,0.742,11
White,1,1.91870491835204,6,gen_cf,0.258,0.742,11
White,1,1.92318276596687,6,gen_cf,0.258,0.742,11
White,1,1.93079972242502,6,gen_cf,0.258,0.742,11
White,1,2.30169710359549,6,true_cf,0.524,0.476,11
White,1,1.91508774883288,6,a_flipped,0.258,0.742,11
White,1,1.99427359346165,6,x_nearest,0.144,0.856,11
Black,1,3.24189417748274,10,x_interest,0.182,0.818,15
White,1,3.4301786483251,13,gen_cf,0.18,0.82,15
White,2,3.99690939014114,6,gen_cf,0.514,0.486,15
White,1,3.32879430469499,13,gen_cf,0.578,0.422,15
White,1,3.17495919088518,12,gen_cf,0.638,0.362,15
White,2,3.24189417748274,8,gen_cf,0.4,0.6,15
White,2,3.79823937884149,5,gen_cf,0.214,0.786,15
White,1,3.24189417748274,14,gen_cf,0.142,0.858,15
White,1,3.24189417748274,13,gen_cf,0.088,0.912,15
White,2,3.3935100000646,10,gen_cf,0.486,0.514,15
White,1,3.57129767147605,10,gen_cf,0.032,0.968,15
White,1,3.51130799021108,10,gen_cf,0.056,0.944,15
White,1,3.4898137593871,10,gen_cf,0.112,0.888,15
White,1,3.41874648432675,10,gen_cf,0.068,0.932,15
White,1,3.42177679102012,10,gen_cf,0.072,0.928,15
White,1,3.44242098116036,10,gen_cf,0.132,0.868,15
White,1,3.41549077893797,10,gen_cf,0.058,0.942,15
White,1,3.3935100000646,10,gen_cf,0.272,0.728,15
White,1,3.38356892428865,10,gen_cf,0.144,0.856,15
White,1,3.3815413399976,10,gen_cf,0.15,0.85,15
White,1,3.37415589917595,10,gen_cf,0.162,0.838,15
White,1,3.2572280207809,9,gen_cf,0.076,0.924,15
White,1,3.12724125814982,10,gen_cf,0.588,0.412,15
White,1,3.16560221174553,10,gen_cf,0.574,0.426,15
White,1,3.18676182322469,10,gen_cf,0.674,0.326,15
White,1,3.2572280207809,10,gen_cf,0.088,0.912,15
White,1,3.24189417748274,10,gen_cf,0.186,0.814,15
White,1,3.62850353224535,10,true_cf,0.238,0.762,15
White,1,3.24189417748274,10,a_flipped,0.186,0.814,15
White,1,3.24278010878438,10,x_nearest,0.14,0.86,15
Black,2,3.26979988284443,6,x_interest,0.286,0.714,66
White,2,3.72558254001713,6,gen_cf,0.264,0.736,66
White,2,3.62559398599048,6,gen_cf,0.228,0.772,66
White,2,3.5372745014272,6,gen_cf,0.494,0.506,66
White,2,3.4004178407871,6,gen_cf,0.234,0.766,66
White,2,3.40228035473279,6,gen_cf,0.232,0.768,66
White,2,3.38089420225925,6,gen_cf,0.154,0.846,66
White,2,3.41917961195504,6,gen_cf,0.088,0.912,66
White,2,3.46215185724455,6,gen_cf,0.24,0.76,66
White,2,3.4538083265754,6,gen_cf,0.412,0.588,66
White,2,3.33473709470619,6,gen_cf,0.194,0.806,66
White,2,3.20961541815667,6,gen_cf,0.062,0.938,66
White,2,3.25789232202544,6,gen_cf,0.12,0.88,66
White,2,3.25894211552643,6,gen_cf,0.216,0.784,66
White,2,3.19191675495194,9,gen_cf,0.334,0.666,66
White,2,3.0891731088554,6,gen_cf,0.136,0.864,66
White,2,3.26979988284443,6,gen_cf,0.274,0.726,66
White,2,3.26979988284443,7,gen_cf,0.11,0.89,66
White,2,3.65640923760704,11,true_cf,0.044,0.956,66
White,2,3.26979988284443,6,a_flipped,0.274,0.726,66
White,2,3.2630446416698,6,x_nearest,0.342,0.658,66
Black,1,2.76781678550512,5,x_interest,0.07,0.93,72
White,2,3.88239587357074,8,gen_cf,0.156,0.844,72
White,2,3.78465220458333,7,gen_cf,0.084,0.916,72
White,1,3.40813685983465,16,gen_cf,0.494,0.506,72
White,2,3.29659578520707,2,gen_cf,0.01,0.99,72
White,2,3.7888681533722,5,gen_cf,0.166,0.834,72
White,1,3.42350086977377,3,gen_cf,0.17,0.83,72
White,2,3.40813685983465,5,gen_cf,0.082,0.918,72
White,2,3.39365279986877,5,gen_cf,0.224,0.776,72
White,2,3.37592936162505,5,gen_cf,0.102,0.898,72
White,2,3.30784553861931,5,gen_cf,0.042,0.958,72
White,2,3.29360809935091,5,gen_cf,0.126,0.874,72
White,1,3.4348012784553,4,gen_cf,0.116,0.884,72
White,1,2.76781678550512,13,gen_cf,0.704,0.296,72
White,1,3.30858250408132,4,gen_cf,0.29,0.71,72
White,1,3.44189000481494,5,gen_cf,0.444,0.556,72
White,1,3.55174551859799,5,gen_cf,0.172,0.828,72
White,1,3.30784553861931,5,gen_cf,0.644,0.356,72
White,1,3.88239587357074,8,gen_cf,0.394,0.606,72
White,1,3.35394761838843,5,gen_cf,0.378,0.622,72
White,1,3.00062151890913,4,gen_cf,0.118,0.882,72
White,1,3.12665943309733,5,gen_cf,0.602,0.398,72
White,1,2.94773361526399,5,gen_cf,0.54,0.46,72
White,1,2.87582529506855,5,gen_cf,0.378,0.622,72
White,1,2.89617729195244,5,gen_cf,0.362,0.638,72
White,1,2.89434750831227,5,gen_cf,0.36,0.64,72
White,1,2.85922239484344,5,gen_cf,0.35,0.65,72
White,1,2.91939411303532,5,gen_cf,0.418,0.582,72
White,1,2.97672784165692,5,gen_cf,0.624,0.376,72
White,1,2.78333714321686,6,gen_cf,0.538,0.462,72
White,1,2.84933511268283,5,gen_cf,0.358,0.642,72
White,1,2.76781678550512,4,gen_cf,0.232,0.768,72
White,1,2.76781678550512,6,gen_cf,0.4,0.6,72
White,1,2.78630439736936,5,gen_cf,0.23,0.77,72
White,1,2.77278460990643,5,gen_cf,0.178,0.822,72
White,1,2.72249645508302,5,gen_cf,0.158,0.842,72
White,1,2.76781678550512,5,gen_cf,0.176,0.824,72
White,1,3.15442614026773,7,true_cf,0.304,0.696,72
White,1,2.76781678550512,5,a_flipped,0.176,0.824,72
White,1,2.77893953742317,5,x_nearest,0.218,0.782,72
Black,1,2.68577697746043,8,x_interest,0.784,0.216,85
White,2,3.84367206741157,8,gen_cf,0.06,0.94,85
White,2,3.40922095469725,8,gen_cf,0.03,0.97,85
White,2,3.29986080577648,8,gen_cf,0.234,0.766,85
White,2,3.2504037342732,8,gen_cf,0.164,0.836,85
White,2,3.25242374123649,8,gen_cf,0.138,0.862,85
White,1,3.20538024205331,12,gen_cf,0.684,0.316,85
White,2,3.13497733196629,8,gen_cf,0.39,0.61,85
White,2,3.14254678894636,8,gen_cf,0.392,0.608,85
